T	M	E	C	X
0.1 	 1.0 	 -2.0 	 0.0 	 0.0
0.2 	 0.0 	 -1.5 	 0.0 	 0.0
0.30000000000000004 	 1.0 	 -2.0 	 0.0 	 0.0
0.4 	 0.0005208333333333333 	 -1.4996527777777777 	 0.008632330247060336 	 0.007769097222222222
0.5 	 1.0 	 -2.0 	 0.0 	 0.0
0.6 	 1.0 	 -2.0 	 0.0 	 0.0
0.7 	 1.0 	 -2.0 	 0.0 	 0.0
0.7999999999999999 	 1.0 	 -2.0 	 0.0 	 0.0
0.8999999999999999 	 0.9993055555555556 	 -1.9972222222222222 	 0.026825179088553874 	 0.0015089163237291814
0.9999999999999999 	 0.9989583333333333 	 -1.9958333333333333 	 0.03222222222223082 	 0.0020138888888965316
1.0999999999999999 	 0.9987847222222223 	 -1.9951388888888888 	 0.030889705132162184 	 0.0021236672278296905
1.2 	 0.9965277777777778 	 -1.9875 	 0.07986111111111742 	 0.009194958847735062
1.3 	 0.99375 	 -1.9760416666666667 	 0.12208251150558108 	 0.011431623931622644
1.4000000000000001 	 0.9909722222222223 	 -1.9659722222222222 	 0.1549351221970219 	 0.01710758377424578
1.5000000000000002 	 0.9864583333333333 	 -1.9510416666666666 	 0.21762345679012965 	 0.02828703703703657
1.6000000000000003 	 0.9796875 	 -1.9309027777777779 	 0.266381534529314 	 0.049685329861106624
1.7000000000000004 	 0.9677083333333333 	 -1.8881944444444445 	 0.35562176940491896 	 0.06450163398693073
1.8000000000000005 	 0.9517361111111111 	 -1.8541666666666667 	 0.5058299039780422 	 0.25359653635116697
1.9000000000000006 	 0.9232638888888889 	 -1.7854166666666667 	 0.6233456448137858 	 0.37146280051981684
2.0000000000000004 	 0.846875 	 -1.7305555555555556 	 0.9404783950617239 	 3.4167013888888844
2.1000000000000005 	 0.03871527777777778 	 -1.6652777777777779 	 0.8872651941434953 	 23.501112397119332
2.2000000000000006 	 0.08298611111111111 	 -1.5902777777777777 	 0.9832542597694152 	 20.972323933782263
2.3000000000000007 	 0.025347222222222222 	 -1.4430555555555555 	 1.188977572405424 	 17.240878287707993
2.400000000000001 	 0.007118055555555555 	 -1.3378472222222222 	 1.1018022869513038 	 13.825471804269544
2.500000000000001 	 0.03576388888888889 	 -1.2256944444444444 	 1.0148395061728381 	 11.359200617283948
2.600000000000001 	 0.03454861111111111 	 -1.1059027777777777 	 0.8670682208342472 	 8.501735369183283
2.700000000000001 	 0.11684027777777778 	 -1.0552083333333333 	 0.8555384087791505 	 6.993920753315041
2.800000000000001 	 0.043055555555555555 	 -0.9100694444444445 	 0.6317899266187951 	 4.5121913580246895
2.9000000000000012 	 0.084375 	 -0.9329861111111111 	 0.6586175702059571 	 4.98465038314176
3.0000000000000013 	 0.05295138888888889 	 -0.8465277777777778 	 0.593000685871056 	 3.903031764403291
3.1000000000000014 	 0.024826388888888887 	 -0.7982638888888889 	 0.4011534731054332 	 3.115523571286338
3.2000000000000015 	 0.03333333333333333 	 -0.7420138888888889 	 0.37924005955825607 	 2.313932291666666
3.3000000000000016 	 0.0036458333333333334 	 -0.7340277777777777 	 0.332905372467662 	 2.521732954545453
3.4000000000000017 	 0.04131944444444444 	 -0.6840277777777778 	 0.28107512068007967 	 1.8741126543209867
3.5000000000000018 	 0.044270833333333336 	 -0.6527777777777778 	 0.2698916603678507 	 1.9059275793650787
3.600000000000002 	 0.00625 	 -0.6586805555555556 	 0.2611376647995727 	 1.8195216049382705
3.700000000000002 	 0.02638888888888889 	 -0.6034722222222222 	 0.20175355535715872 	 1.4262053720387047
3.800000000000002 	 0.00017361111111111112 	 -0.6027777777777777 	 0.18075219725727565 	 1.1917940830084466
3.900000000000002 	 0.019444444444444445 	 -0.5850694444444444 	 0.17783692908336773 	 0.9019151630262736
4.000000000000002 	 0.059722222222222225 	 -0.5635416666666667 	 0.1523394097222218 	 1.0564737654320984
4.100000000000001 	 0.05416666666666667 	 -0.5423611111111111 	 0.16634535586548296 	 0.9774051490514901
4.200000000000001 	 0.008506944444444444 	 -0.5128472222222222 	 0.14025844391254436 	 0.7504680151381538
4.300000000000001 	 0.022222222222222223 	 -0.5493055555555556 	 0.15714032944067174 	 0.8907443296009186
4.4 	 0.008159722222222223 	 -0.5225694444444444 	 0.1220678215233141 	 0.972910967312009
4.5 	 0.006944444444444444 	 -0.4795138888888889 	 0.11081351928059736 	 0.7013203017832648
4.6 	 0.01423611111111111 	 -0.46076388888888886 	 0.12773452997736248 	 0.7239314949006979
4.699999999999999 	 0.012673611111111111 	 -0.4482638888888889 	 0.09252936919113165 	 0.5522602278697137
4.799999999999999 	 0.01423611111111111 	 -0.4565972222222222 	 0.1059868371699246 	 0.6635304140946503
4.899999999999999 	 0.010243055555555556 	 -0.4576388888888889 	 0.12502378124341204 	 0.7461494551524315
4.999999999999998 	 0.009548611111111112 	 -0.4496527777777778 	 0.11456635802469145 	 0.6452912808641977
