Pred	Exac
26.80	44.74
26.21	44.74
35.31	44.74
36.68	44.74
37.13	44.74
36.03	44.74
26.19	42.53
34.79	42.53
26.79	42.53
33.48	41.78
26.87	41.78
35.70	41.70
26.23	41.70
26.63	41.65
26.76	41.65
35.54	41.65
34.24	41.28
35.62	41.23
24.58	41.23
24.30	41.23
35.46	41.22
34.97	41.21
35.32	41.14
23.50	41.14
25.40	41.04
34.36	41.00
34.92	40.32
32.09	40.22
23.65	40.22
22.63	39.62
22.69	39.61
32.68	39.61
25.32	39.57
33.05	39.57
26.01	39.57
24.13	39.57
34.16	39.57
32.98	39.57
35.55	39.51
33.62	39.49
24.78	39.49
24.85	39.49
24.78	39.48
34.49	39.44
26.46	39.44
26.37	39.44
25.33	39.44
22.01	39.37
24.72	39.32
31.16	39.30
24.81	39.29
22.83	39.25
24.48	39.02
24.75	39.02
34.32	39.01
26.01	38.93
32.91	38.83
30.64	38.79
25.14	38.79
25.79	38.79
32.20	38.79
24.68	38.66
31.45	38.61
25.46	38.61
34.53	38.56
29.59	38.38
31.67	38.37
22.32	38.36
32.14	38.27
23.07	38.27
22.91	38.26
22.94	38.25
22.18	38.25
31.89	38.25
35.29	38.24
24.00	38.19
21.88	38.16
22.08	38.16
24.72	38.13
31.61	38.12
24.63	38.11
25.35	38.10
23.35	38.04
30.78	38.04
25.12	37.96
23.94	37.96
23.61	37.95
33.49	37.94
24.55	37.90
33.50	37.82
30.29	37.81
25.01	37.78
32.06	37.76
23.41	37.71
21.27	37.65
21.43	37.64
23.25	37.64
22.97	37.61
30.72	37.58
28.60	37.55
26.99	37.51
30.83	37.51
24.46	37.48
22.49	37.47
21.77	37.46
24.56	37.39
23.11	37.36
23.92	37.36
23.09	37.29
23.19	37.29
34.18	37.28
22.67	37.27
22.41	37.27
33.09	37.26
24.62	37.26
27.38	37.25
32.28	37.22
32.12	37.21
27.64	37.15
31.34	37.07
24.62	37.06
24.80	36.98
35.37	36.97
23.68	36.95
30.00	36.82
30.49	36.81
27.35	36.79
32.40	36.71
30.49	36.71
29.53	36.69
29.12	36.68
26.83	36.68
20.79	36.65
22.21	36.59
21.29	36.48
22.31	36.48
24.89	36.42
31.27	36.42
31.16	36.32
32.68	36.32
19.94	36.31
31.40	36.27
25.61	36.25
28.54	36.24
31.65	36.23
33.04	36.19
23.64	36.18
30.48	36.15
31.62	36.08
21.96	36.08
27.28	36.05
20.63	36.03
27.78	36.03
28.49	36.03
20.83	35.95
20.72	35.94
21.16	35.92
24.37	35.92
21.67	35.90
24.52	35.90
31.83	35.90
22.65	35.89
22.28	35.87
20.19	35.86
23.17	35.84
19.81	35.82
23.30	35.82
29.08	35.79
22.60	35.78
20.91	35.76
23.09	35.75
22.23	35.73
23.12	35.70
23.77	35.69
21.69	35.69
23.31	35.68
20.26	35.67
28.67	35.67
22.37	35.63
30.84	35.63
23.90	35.60
19.34	35.59
26.03	35.57
30.99	35.51
19.67	35.45
31.37	35.39
19.05	35.39
19.84	35.37
20.15	35.34
20.37	35.33
23.20	35.31
23.50	35.29
20.98	35.27
20.32	35.23
23.31	35.22
32.65	35.17
25.68	35.15
21.94	35.14
22.68	35.14
30.57	35.12
19.04	35.12
28.63	35.12
21.88	35.11
24.53	35.11
23.46	35.10
21.35	35.10
22.74	35.08
21.50	35.08
27.48	35.07
23.14	35.06
20.59	35.06
27.48	35.04
21.94	35.04
22.57	35.03
20.47	34.98
22.31	34.97
24.56	34.97
22.97	34.95
28.77	34.94
32.00	34.90
26.70	34.90
22.94	34.88
20.21	34.87
16.42	34.83
29.27	34.81
28.50	34.80
30.86	34.80
27.76	34.80
30.06	34.75
22.05	34.75
22.91	34.74
22.30	34.74
21.47	34.71
22.54	34.71
23.56	34.69
28.04	34.67
20.14	34.67
30.11	34.66
17.34	34.65
25.35	34.64
23.43	34.63
30.21	34.62
18.00	34.61
24.47	34.60
26.05	34.59
