Pred	Exac
 9.94	44.74
10.58	44.74
54.95	44.74
55.26	44.74
56.64	44.74
53.21	44.74
 8.54	42.53
51.37	42.53
 9.78	42.53
49.21	41.78
10.42	41.78
54.36	41.70
 9.66	41.70
 8.90	41.65
10.62	41.65
56.78	41.65
56.08	41.28
53.38	41.23
10.58	41.23
 8.50	41.23
53.26	41.22
55.27	41.21
58.39	41.14
12.42	41.14
 9.62	41.04
57.17	41.00
53.78	40.32
46.14	40.22
 9.58	40.22
11.10	39.62
 9.10	39.61
53.07	39.61
10.58	39.57
48.54	39.57
 9.58	39.57
11.10	39.57
56.85	39.57
52.06	39.57
54.35	39.51
49.17	39.49
 9.18	39.49
 9.31	39.49
 8.18	39.48
55.27	39.44
10.70	39.44
 8.94	39.44
11.22	39.44
11.30	39.37
11.10	39.32
44.90	39.30
10.94	39.29
 7.95	39.25
 9.50	39.02
10.02	39.02
55.01	39.01
10.38	38.93
55.96	38.83
46.55	38.79
 9.10	38.79
11.86	38.79
55.36	38.79
10.26	38.66
52.71	38.61
10.42	38.61
54.11	38.56
58.74	38.38
59.29	38.37
 3.02	38.36
49.07	38.27
 7.58	38.27
 8.82	38.26
10.06	38.25
 7.78	38.25
52.19	38.25
61.13	38.24
11.94	38.19
11.54	38.16
11.22	38.16
10.98	38.13
50.68	38.12
 9.90	38.11
 7.74	38.10
12.78	38.04
47.71	38.04
 9.30	37.96
10.30	37.96
 8.30	37.95
55.17	37.94
13.46	37.90
58.31	37.82
49.76	37.81
 7.54	37.78
59.13	37.76
12.42	37.71
10.26	37.65
17.26	37.64
12.14	37.64
 9.26	37.61
49.61	37.58
43.96	37.55
38.60	37.51
46.09	37.51
10.62	37.48
10.26	37.47
 4.86	37.46
12.42	37.39
10.66	37.36
 8.94	37.36
 9.70	37.29
 8.62	37.29
53.11	37.28
10.10	37.27
 8.90	37.27
55.90	37.26
14.78	37.26
53.46	37.25
60.45	37.22
54.25	37.21
45.53	37.15
59.13	37.07
14.78	37.06
 7.23	36.98
62.43	36.97
12.75	36.95
38.85	36.82
45.56	36.81
44.49	36.79
56.25	36.71
47.04	36.71
63.21	36.69
41.35	36.68
40.69	36.68
11.54	36.65
14.22	36.59
11.70	36.48
10.18	36.48
 9.62	36.42
50.45	36.42
53.16	36.32
53.47	36.32
17.50	36.31
49.73	36.27
12.58	36.25
55.56	36.24
60.12	36.23
58.81	36.19
10.82	36.18
49.76	36.15
47.69	36.08
 8.30	36.08
42.40	36.05
15.22	36.03
42.29	36.03
43.47	36.03
24.98	35.95
23.14	35.94
 9.50	35.92
15.50	35.92
24.22	35.90
 9.78	35.90
53.37	35.90
12.58	35.89
11.30	35.87
10.06	35.86
11.54	35.84
20.70	35.82
11.30	35.82
43.23	35.79
10.14	35.78
11.62	35.76
 8.62	35.75
13.26	35.73
10.82	35.70
14.18	35.69
 8.68	35.69
10.42	35.68
 7.98	35.67
46.56	35.67
10.19	35.63
49.38	35.63
10.30	35.60
 9.90	35.59
40.15	35.57
56.20	35.51
12.94	35.45
54.25	35.39
 9.34	35.39
16.74	35.37
 7.02	35.34
 9.46	35.33
10.94	35.31
14.86	35.29
 9.66	35.27
11.58	35.23
 9.26	35.22
48.13	35.17
36.32	35.15
 9.90	35.14
10.90	35.14
38.58	35.12
11.06	35.12
49.33	35.12
11.54	35.11
21.66	35.11
11.54	35.10
 6.42	35.10
10.86	35.08
11.30	35.08
36.92	35.07
35.10	35.06
19.82	35.06
69.47	35.04
 9.86	35.04
11.06	35.03
16.62	34.98
 5.02	34.97
12.42	34.97
11.46	34.95
55.03	34.94
58.46	34.90
58.17	34.90
11.50	34.88
12.10	34.87
14.74	34.83
47.16	34.81
42.82	34.80
49.83	34.80
44.18	34.80
52.06	34.75
12.46	34.75
14.66	34.74
10.86	34.74
10.02	34.71
10.58	34.71
12.22	34.69
50.48	34.67
12.38	34.67
61.42	34.66
10.58	34.65
 7.74	34.64
13.22	34.63
58.38	34.62
11.86	34.61
 9.31	34.60
39.71	34.59
18.78	34.59
12.54	34.59
43.87	34.59
42.98	34.59
44.61	34.58
12.30	34.56
 9.50	34.55
 9.00	34.51
20.14	34.47
13.14	34.46
13.58	34.45
43.01	34.45
 0.28	34.44
11.30	34.44
10.46	34.44
37.91	34.43
 9.70	34.40
12.10	34.40
 8.26	34.38
48.00	34.34
52.80	34.33
35.09	34.30
14.66	34.28
19.82	34.28
15.94	34.25
 2.39	34.25
10.18	34.21
59.46	34.19
16.14	34.19
53.83	34.17
52.68	34.17
 8.74	34.14
41.79	34.14
14.18	34.14
 8.46	34.12
 8.14	34.12
 7.70	34.12
 6.06	34.11
29.14	34.10
45.64	34.10
 8.94	34.10
 9.46	34.08
44.11	34.07
 9.88	34.07
 8.82	34.06
66.41	34.06
10.38	34.04
13.50	34.03
52.98	34.03
