Pred	Exac
33.24	44.74
33.17	44.74
37.66	44.74
38.26	44.74
38.28	44.74
37.54	44.74
32.48	42.53
36.32	42.53
31.59	42.53
34.79	41.78
31.73	41.78
35.90	41.70
31.88	41.70
31.99	41.65
32.12	41.65
36.73	41.65
35.25	41.28
35.60	41.23
30.96	41.23
30.65	41.23
35.94	41.22
36.15	41.21
36.04	41.14
29.75	41.14
30.65	41.04
35.19	41.00
35.21	40.32
33.10	40.22
28.22	40.22
27.95	39.62
29.30	39.61
34.70	39.61
30.30	39.57
33.91	39.57
29.72	39.57
29.33	39.57
34.52	39.57
34.18	39.57
36.13	39.51
34.19	39.49
30.72	39.49
29.89	39.49
29.87	39.48
35.15	39.44
30.77	39.44
30.70	39.44
30.42	39.44
28.85	39.37
29.52	39.32
32.58	39.30
27.76	39.29
27.88	39.25
29.94	39.02
29.83	39.02
35.32	39.01
30.08	38.93
33.95	38.83
32.62	38.79
30.00	38.79
30.28	38.79
32.47	38.79
29.61	38.66
32.24	38.61
30.96	38.61
35.17	38.56
30.87	38.38
32.76	38.37
27.80	38.36
32.80	38.27
29.04	38.27
27.52	38.26
28.99	38.25
27.89	38.25
33.12	38.25
34.18	38.24
29.31	38.19
28.89	38.16
28.37	38.16
29.07	38.13
34.04	38.12
28.88	38.11
29.99	38.10
27.32	38.04
32.92	38.04
29.82	37.96
29.13	37.96
28.88	37.95
33.32	37.94
29.24	37.90
33.93	37.82
32.66	37.81
28.95	37.78
32.07	37.76
27.56	37.71
27.86	37.65
27.32	37.64
28.09	37.64
28.54	37.61
32.27	37.58
30.07	37.55
29.21	37.51
32.94	37.51
27.71	37.48
28.43	37.47
28.28	37.46
28.50	37.39
27.67	37.36
27.81	37.36
27.92	37.29
26.65	37.29
33.68	37.28
27.83	37.27
26.92	37.27
33.57	37.26
28.58	37.26
28.01	37.25
32.88	37.22
33.91	37.21
28.25	37.15
32.35	37.07
28.58	37.06
28.96	36.98
34.57	36.97
27.79	36.95
32.30	36.82
31.90	36.81
28.83	36.79
32.06	36.71
32.09	36.71
30.22	36.69
30.12	36.68
28.94	36.68
26.57	36.65
26.31	36.59
27.99	36.48
27.15	36.48
30.09	36.42
31.99	36.42
32.60	36.32
33.21	36.32
24.37	36.31
31.06	36.27
27.45	36.25
29.10	36.24
31.15	36.23
32.14	36.19
28.15	36.18
31.54	36.15
31.93	36.08
25.51	36.08
30.26	36.05
27.69	36.03
28.26	36.03
28.93	36.03
27.11	35.95
27.71	35.94
26.75	35.92
29.47	35.92
27.61	35.90
27.74	35.90
30.56	35.90
27.04	35.89
26.97	35.87
26.73	35.86
27.63	35.84
27.44	35.82
27.21	35.82
29.96	35.79
26.75	35.78
26.46	35.76
26.81	35.75
25.75	35.73
27.06	35.70
27.21	35.69
26.32	35.69
25.74	35.68
24.79	35.67
29.27	35.67
26.69	35.63
30.71	35.63
27.93	35.60
24.90	35.59
29.24	35.57
30.50	35.51
24.59	35.45
32.08	35.39
24.82	35.39
24.05	35.37
23.13	35.34
25.45	35.33
26.59	35.31
27.19	35.29
27.80	35.27
25.44	35.23
27.11	35.22
32.59	35.17
29.25	35.15
25.25	35.14
27.51	35.14
31.52	35.12
25.43	35.12
28.69	35.12
28.89	35.11
28.41	35.11
28.99	35.10
25.61	35.10
27.49	35.08
26.07	35.08
27.93	35.07
26.58	35.06
26.87	35.06
28.54	35.04
28.01	35.04
26.42	35.03
25.97	34.98
27.08	34.97
28.50	34.97
25.20	34.95
29.21	34.94
31.34	34.90
27.86	34.90
26.37	34.88
23.31	34.87
25.16	34.83
29.72	34.81
28.98	34.80
29.84	34.80
29.22	34.80
30.34	34.75
27.18	34.75
25.32	34.74
27.34	34.74
27.40	34.71
27.61	34.71
25.95	34.69
30.39	34.67
24.93	34.67
29.34	34.66
23.73	34.65
29.99	34.64
24.67	34.63
30.15	34.62
23.42	34.61
28.62	34.60
29.23	34.59
24.27	34.59
23.49	34.59
28.54	34.59
28.03	34.59
28.40	34.58
26.97	34.56
26.94	34.55
26.31	34.51
25.89	34.47
25.58	34.46
26.78	34.45
26.62	34.45
24.33	34.44
23.79	34.44
27.03	34.44
26.61	34.43
25.51	34.40
26.27	34.40
24.62	34.38
31.14	34.34
28.62	34.33
26.39	34.30
24.93	34.28
26.27	34.28
26.06	34.25
25.75	34.25
25.40	34.21
30.83	34.19
24.64	34.19
29.53	34.17
31.92	34.17
27.10	34.14
28.42	34.14
25.61	34.14
26.75	34.12
26.41	34.12
25.63	34.12
27.56	34.11
25.27	34.10
28.56	34.10
23.93	34.10
22.77	34.08
28.32	34.07
25.71	34.07
25.77	34.06
26.79	34.06
26.54	34.04
25.96	34.03
30.68	34.03
27.20	34.00
26.92	34.00
29.93	33.97
23.19	33.97
28.76	33.97
29.31	33.96
24.63	33.95
27.67	33.94
29.77	33.94
25.85	33.92
24.13	33.88
24.99	33.88
25.09	33.85
30.47	33.84
30.76	33.83
30.12	33.82
25.59	33.82
25.84	33.77
24.15	33.75
25.88	33.74
27.10	33.74
26.27	33.74
22.67	33.72
24.09	33.71
24.87	33.70
27.11	33.70
28.12	33.68
26.94	33.67
28.54	33.66
25.23	33.65
24.28	33.62
27.34	33.61
24.72	33.60
23.91	33.58
29.54	33.56
25.88	33.54
29.07	33.54
26.82	33.49
26.60	33.47
25.96	33.45
25.20	33.45
25.81	33.42
29.64	33.42
26.52	33.42
25.07	33.41
25.86	33.41
25.86	33.41
27.18	33.40
25.30	33.40
23.35	33.40
26.50	33.40
24.72	33.38
24.91	33.38
25.30	33.37
27.63	33.36
29.49	33.35
28.64	33.34
24.03	33.31
24.54	33.29
23.69	33.29
30.56	33.28
24.54	33.28
25.59	33.27
24.53	33.19
25.74	33.18
25.81	33.17
24.94	33.17
26.77	33.17
26.47	33.16
25.06	33.16
24.96	33.15
23.96	33.12
26.59	33.10
25.14	33.10
28.72	33.09
28.56	33.09
27.40	33.09
24.39	33.07
22.29	33.02
26.72	32.99
26.56	32.99
28.17	32.99
23.73	32.99
23.36	32.98
25.36	32.98
24.93	32.98
27.01	32.97
27.66	32.97
26.81	32.96
26.11	32.95
29.89	32.94
25.23	32.90
29.50	32.90
27.83	32.86
25.13	32.84
26.95	32.79
29.21	32.78
27.69	32.77
27.83	32.76
26.35	32.76
23.82	32.75
23.83	32.75
29.84	32.75
25.56	32.74
32.46	32.71
27.89	32.71
27.15	32.70
25.02	32.67
24.82	32.67
24.60	32.66
30.35	32.63
29.83	32.62
25.39	32.62
24.04	32.62
24.54	32.60
29.20	32.60
24.17	32.59
28.64	32.59
23.69	32.59
29.63	32.58
22.66	32.58
25.74	32.56
24.99	32.56
24.85	32.55
24.02	32.55
25.46	32.55
23.71	32.54
23.24	32.54
28.53	32.53
22.43	32.53
25.18	32.51
24.18	32.50
28.76	32.50
22.28	32.48
25.86	32.48
25.16	32.47
26.20	32.46
25.25	32.46
26.86	32.44
24.14	32.44
29.63	32.42
27.68	32.42
28.91	32.42
26.17	32.41
27.32	32.41
25.01	32.39
25.21	32.34
24.76	32.33
26.66	32.31
26.31	32.30
23.43	32.30
26.61	32.30
29.55	32.29
25.12	32.29
25.84	32.28
23.45	32.28
28.34	32.28
27.37	32.28
29.58	32.28
24.24	32.28
23.20	32.28
27.58	32.27
28.74	32.27
23.50	32.26
24.38	32.25
22.92	32.25
25.38	32.24
28.39	32.24
24.45	32.23
25.01	32.22
29.53	32.22
25.75	32.22
16.65	32.20
25.15	32.18
26.18	32.18
26.66	32.18
25.08	32.18
23.09	32.17
29.87	32.16
23.18	32.16
24.51	32.16
23.60	32.15
28.91	32.15
22.75	32.14
24.28	32.13
24.52	32.11
30.07	32.10
24.99	32.09
25.21	32.09
25.31	32.08
27.01	32.08
29.74	32.08
23.03	32.07
29.69	32.07
27.99	32.07
24.44	32.07
22.63	32.06
22.61	32.05
25.67	32.05
23.55	32.04
24.41	32.03
28.39	32.03
28.80	32.03
25.92	32.03
27.16	32.03
21.25	32.02
29.12	32.01
24.65	32.01
26.09	32.01
23.08	32.01
24.88	32.00
23.04	32.00
20.94	31.99
26.31	31.98
29.58	31.95
23.26	31.95
29.78	31.94
26.69	31.94
28.68	31.93
23.94	31.89
26.54	31.89
24.36	31.88
23.42	31.88
25.68	31.88
23.34	31.88
24.23	31.86
22.91	31.86
22.58	31.86
25.87	31.84
26.46	31.83
21.84	31.82
22.56	31.81
28.65	31.79
22.25	31.79
22.47	31.79
27.50	31.78
26.56	31.78
28.42	31.77
24.51	31.76
21.34	31.75
27.97	31.75
28.01	31.72
29.11	31.72
24.80	31.72
26.30	31.72
23.69	31.70
23.64	31.70
27.28	31.70
29.11	31.70
25.07	31.69
29.04	31.69
29.07	31.68
28.47	31.68
24.51	31.67
28.79	31.66
26.89	31.66
26.49	31.66
22.74	31.66
24.73	31.66
23.79	31.64
20.93	31.64
20.58	31.64
24.61	31.63
24.01	31.63
26.73	31.63
28.83	31.62
24.16	31.61
26.09	31.60
25.24	31.59
26.72	31.58
23.50	31.58
23.49	31.57
24.02	31.56
27.59	31.56
28.79	31.55
23.40	31.55
22.98	31.55
22.84	31.55
30.62	31.54
28.53	31.54
26.08	31.54
28.15	31.52
25.48	31.52
27.87	31.51
23.03	31.51
22.15	31.50
25.76	31.49
23.76	31.46
28.99	31.46
24.95	31.46
24.17	31.46
26.68	31.46
23.12	31.46
23.38	31.45
21.89	31.42
26.73	31.41
24.14	31.41
26.32	31.41
23.13	31.41
22.40	31.40
22.78	31.40
24.16	31.40
32.07	31.40
24.16	31.39
25.45	31.39
25.21	31.38
23.76	31.38
23.69	31.37
24.05	31.37
23.70	31.36
24.74	31.36
23.03	31.35
22.05	31.35
23.62	31.34
24.25	31.34
26.69	31.32
24.92	31.32
23.94	31.32
22.10	31.31
27.80	31.30
25.15	31.30
24.35	31.30
23.35	31.30
20.50	31.29
22.97	31.29
21.71	31.29
21.70	31.29
28.45	31.28
26.53	31.27
23.12	31.26
24.39	31.26
23.41	31.26
26.90	31.24
24.57	31.24
23.94	31.23
23.45	31.22
26.37	31.22
24.13	31.20
21.51	31.20
23.35	31.19
30.30	31.19
22.06	31.18
25.15	31.18
22.95	31.18
22.96	31.17
24.82	31.16
24.81	31.16
23.64	31.16
24.02	31.15
23.62	31.14
22.99	31.14
27.52	31.14
27.68	31.14
20.80	31.13
22.92	31.13
24.47	31.13
24.25	31.12
27.57	31.12
22.64	31.11
23.17	31.11
26.90	31.11
26.96	31.10
29.03	31.10
22.82	31.10
23.14	31.09
25.33	31.09
26.07	31.08
23.92	31.08
23.18	31.07
26.09	31.06
31.77	31.06
28.98	31.06
24.14	31.06
24.37	31.06
27.08	31.05
20.93	31.05
27.10	31.05
21.83	31.04
24.23	31.02
22.78	31.02
22.83	31.02
24.95	31.02
23.52	31.01
23.85	31.00
23.95	31.00
21.78	31.00
24.47	31.00
28.87	30.99
24.11	30.99
27.53	30.98
23.84	30.98
23.36	30.97
28.43	30.97
27.25	30.97
22.84	30.95
27.83	30.95
24.60	30.94
24.92	30.94
23.30	30.93
23.35	30.93
26.80	30.92
21.31	30.92
23.48	30.92
24.06	30.91
27.99	30.91
26.63	30.90
22.42	30.90
23.42	30.90
25.73	30.89
24.06	30.89
28.84	30.88
24.09	30.87
20.96	30.87
22.56	30.86
21.66	30.86
22.35	30.86
21.82	30.85
26.84	30.84
25.02	30.84
26.40	30.83
24.95	30.83
22.97	30.82
26.40	30.82
26.07	30.81
22.40	30.81
24.05	30.81
23.13	30.80
28.75	30.78
23.45	30.78
23.41	30.78
24.25	30.78
24.13	30.77
26.48	30.77
22.03	30.76
22.52	30.76
22.16	30.76
28.95	30.76
23.43	30.75
21.53	30.75
24.02	30.75
23.77	30.75
21.42	30.74
22.54	30.74
24.00	30.74
25.19	30.74
32.23	30.73
24.04	30.72
24.58	30.72
25.51	30.71
24.62	30.71
24.73	30.69
18.41	30.68
21.95	30.68
25.28	30.67
25.22	30.66
24.38	30.66
23.05	30.65
25.57	30.65
25.53	30.65
23.31	30.65
24.96	30.64
24.87	30.64
22.01	30.64
29.03	30.63
24.09	30.63
25.31	30.63
24.95	30.62
23.04	30.62
28.95	30.62
24.96	30.62
25.57	30.62
21.29	30.61
23.29	30.61
20.38	30.60
21.34	30.60
25.64	30.57
22.90	30.56
20.81	30.56
20.81	30.55
21.12	30.54
23.05	30.53
23.22	30.53
26.34	30.52
22.46	30.51
25.55	30.51
22.92	30.48
26.94	30.48
23.31	30.47
23.26	30.46
20.60	30.46
28.28	30.45
22.82	30.45
27.62	30.44
19.93	30.44
19.19	30.44
24.76	30.44
25.03	30.43
25.47	30.42
24.81	30.42
24.37	30.41
22.64	30.40
21.45	30.40
22.73	30.39
22.28	30.38
27.29	30.38
22.50	30.38
26.95	30.37
22.54	30.37
23.05	30.37
23.25	30.37
21.50	30.36
22.56	30.35
28.32	30.35
26.72	30.34
23.34	30.34
28.46	30.34
28.20	30.34
19.55	30.34
25.13	30.32
21.81	30.32
24.07	30.32
24.63	30.32
23.70	30.31
21.37	30.31
28.48	30.31
23.33	30.31
22.15	30.30
25.84	30.29
22.27	30.29
24.80	30.28
23.98	30.26
22.04	30.26
25.07	30.26
22.97	30.25
24.46	30.24
24.06	30.24
24.78	30.23
24.06	30.23
27.03	30.22
27.85	30.22
24.00	30.22
27.85	30.22
21.42	30.21
20.92	30.21
22.55	30.20
22.64	30.20
20.25	30.19
22.35	30.19
22.75	30.19
23.36	30.18
22.37	30.17
21.31	30.17
23.47	30.17
21.65	30.17
23.20	30.16
24.17	30.16
24.86	30.15
22.52	30.15
21.44	30.15
23.91	30.14
22.21	30.14
23.38	30.13
24.37	30.13
26.47	30.13
22.18	30.13
22.91	30.13
25.40	30.12
27.53	30.12
21.42	30.12
20.65	30.12
26.24	30.11
23.09	30.10
21.55	30.09
21.62	30.09
20.02	30.09
22.57	30.08
23.48	30.08
24.12	30.05
24.58	30.05
22.23	30.04
24.15	30.03
27.04	30.01
23.88	30.01
27.09	30.01
23.74	30.00
20.54	30.00
22.08	30.00
23.53	30.00
21.44	30.00
21.86	29.99
27.55	29.99
19.22	29.99
21.37	29.99
22.59	29.99
23.46	29.98
22.22	29.97
23.05	29.97
23.86	29.97
23.09	29.97
22.11	29.96
22.46	29.96
23.43	29.95
25.03	29.94
25.01	29.94
20.99	29.93
22.41	29.91
25.15	29.91
25.15	29.91
25.75	29.91
21.91	29.90
22.84	29.90
21.69	29.89
24.17	29.89
25.85	29.89
21.20	29.89
24.41	29.89
