Pred	Exac
11.44	44.74
12.80	44.74
91.20	44.74
92.00	44.74
93.60	44.74
89.92	44.74
 8.72	42.53
87.84	42.53
15.92	42.53
85.44	41.78
16.64	41.78
91.12	41.70
10.16	41.70
10.16	41.65
12.72	41.65
93.52	41.65
92.08	41.28
90.88	41.23
13.52	41.23
12.16	41.23
90.08	41.22
91.68	41.21
95.04	41.14
17.84	41.14
 8.24	41.04
93.84	41.00
90.16	40.32
82.72	40.22
 6.00	40.22
19.20	39.62
15.28	39.61
89.44	39.61
14.40	39.57
85.52	39.57
15.84	39.57
11.36	39.57
93.92	39.57
89.76	39.57
90.96	39.51
85.20	39.49
13.20	39.49
11.44	39.49
 5.20	39.48
92.24	39.44
16.40	39.44
12.80	39.44
15.28	39.44
12.00	39.37
22.24	39.32
81.92	39.30
22.88	39.29
 6.72	39.25
11.36	39.02
13.12	39.02
91.68	39.01
18.08	38.93
92.64	38.83
83.84	38.79
11.20	38.79
18.24	38.79
92.96	38.79
12.48	38.66
88.96	38.61
11.60	38.61
90.88	38.56
96.00	38.38
96.64	38.37
 4.00	38.36
86.16	38.27
11.12	38.27
10.80	38.26
11.04	38.25
 8.96	38.25
88.00	38.25
97.68	38.24
16.00	38.19
17.92	38.16
19.36	38.16
17.36	38.13
87.28	38.12
17.20	38.11
 9.68	38.10
13.44	38.04
84.56	38.04
10.88	37.96
14.48	37.96
 8.08	37.95
91.84	37.94
19.76	37.90
94.96	37.82
85.84	37.81
11.28	37.78
96.48	37.76
27.52	37.71
13.76	37.65
31.20	37.64
13.28	37.64
 7.52	37.61
86.64	37.58
80.56	37.55
74.64	37.51
82.96	37.51
15.44	37.48
12.40	37.47
10.24	37.46
15.04	37.39
15.60	37.36
13.28	37.36
11.60	37.29
11.36	37.29
90.00	37.28
 9.36	37.27
 8.64	37.27
92.40	37.26
18.40	37.26
89.68	37.25
97.60	37.22
90.24	37.21
81.12	37.15
96.80	37.07
18.40	37.06
 4.56	36.98
98.96	36.97
14.32	36.95
74.88	36.82
82.08	36.81
81.28	36.79
93.52	36.71
83.76	36.71
95.12	36.69
78.24	36.68
77.36	36.68
13.44	36.65
19.36	36.59
17.60	36.48
11.60	36.48
10.88	36.42
