Pred	Exac
27.68	44.74
27.40	44.74
37.28	44.74
37.51	44.74
37.37	44.74
36.28	44.74
26.66	42.53
35.47	42.53
26.64	42.53
33.33	41.78
25.66	41.78
34.16	41.70
26.21	41.70
25.54	41.65
25.41	41.65
35.67	41.65
34.47	41.28
35.28	41.23
25.13	41.23
24.52	41.23
35.42	41.22
35.51	41.21
36.57	41.14
24.00	41.14
25.08	41.04
34.31	41.00
33.68	40.32
32.47	40.22
23.74	40.22
22.86	39.62
23.97	39.61
35.00	39.61
24.46	39.57
32.38	39.57
24.21	39.57
23.59	39.57
34.75	39.57
33.87	39.57
34.36	39.51
32.42	39.49
25.31	39.49
24.76	39.49
24.47	39.48
34.19	39.44
24.37	39.44
24.02	39.44
24.15	39.44
24.15	39.37
25.81	39.32
32.09	39.30
24.13	39.29
22.07	39.25
23.85	39.02
24.01	39.02
34.52	39.01
25.16	38.93
32.67	38.83
32.95	38.79
23.43	38.79
24.18	38.79
31.94	38.79
23.74	38.66
30.37	38.61
23.76	38.61
33.70	38.56
34.03	38.38
33.40	38.37
22.67	38.36
31.64	38.27
23.46	38.27
22.10	38.26
23.72	38.25
22.79	38.25
32.46	38.25
34.17	38.24
24.17	38.19
24.82	38.16
23.92	38.16
23.77	38.13
33.25	38.12
23.96	38.11
23.49	38.10
22.56	38.04
32.43	38.04
22.63	37.96
22.92	37.96
21.59	37.95
32.58	37.94
24.10	37.90
34.37	37.82
29.87	37.81
24.56	37.78
32.34	37.76
23.24	37.71
22.40	37.65
23.53	37.64
22.82	37.64
24.01	37.61
33.35	37.58
29.73	37.55
27.64	37.51
30.79	37.51
21.04	37.48
23.82	37.47
22.47	37.46
23.45	37.39
21.70	37.36
21.31	37.36
21.23	37.29
21.27	37.29
31.77	37.28
22.89	37.27
22.51	37.27
32.80	37.26
24.20	37.26
31.49	37.25
32.86	37.22
32.70	37.21
28.19	37.15
33.02	37.07
24.20	37.06
23.88	36.98
33.19	36.97
21.56	36.95
31.73	36.82
30.48	36.81
29.53	36.79
31.14	36.71
30.52	36.71
30.77	36.69
29.71	36.68
28.91	36.68
21.44	36.65
20.99	36.59
21.61	36.48
20.83	36.48
24.67	36.42
31.11	36.42
33.08	36.32
32.77	36.32
21.10	36.31
30.54	36.27
22.93	36.25
29.90	36.24
32.41	36.23
32.59	36.19
22.39	36.18
31.07	36.15
30.29	36.08
20.61	36.08
29.64	36.05
21.28	36.03
27.62	36.03
27.48	36.03
24.42	35.95
25.04	35.94
22.06	35.92
25.83	35.92
24.93	35.90
22.09	35.90
31.13	35.90
20.55	35.89
21.68	35.87
20.79	35.86
21.89	35.84
22.10	35.82
22.88	35.82
32.75	35.79
22.50	35.78
23.17	35.76
21.42	35.75
21.82	35.73
21.28	35.70
23.89	35.69
19.60	35.69
20.28	35.68
21.58	35.67
29.36	35.67
20.63	35.63
31.55	35.63
21.95	35.60
21.42	35.59
27.18	35.57
32.67	35.51
19.27	35.45
33.19	35.39
21.00	35.39
21.04	35.37
20.23	35.34
20.67	35.33
22.75	35.31
21.81	35.29
23.23	35.27
22.57	35.23
21.51	35.22
30.59	35.17
28.32	35.15
21.49	35.14
22.64	35.14
31.24	35.12
21.24	35.12
29.16	35.12
24.82	35.11
24.27	35.11
21.35	35.10
21.73	35.10
21.95	35.08
19.93	35.08
26.69	35.07
26.48	35.06
21.95	35.06
33.44	35.04
22.04	35.04
22.24	35.03
20.46	34.98
21.47	34.97
23.45	34.97
22.04	34.95
31.24	34.94
31.50	34.90
29.78	34.90
20.76	34.88
18.89	34.87
22.64	34.83
27.58	34.81
27.38	34.80
29.95	34.80
28.61	34.80
31.05	34.75
21.80	34.75
21.36	34.74
22.78	34.74
20.95	34.71
21.31	34.71
21.16	34.69
29.74	34.67
19.73	34.67
29.92	34.66
22.44	34.65
23.49	34.64
20.42	34.63
29.90	34.62
18.55	34.61
21.95	34.60
27.20	34.59
19.59	34.59
19.06	34.59
27.77	34.59
27.23	34.59
26.53	34.58
21.39	34.56
20.55	34.55
20.84	34.51
21.40	34.47
20.95	34.46
21.73	34.45
26.18	34.45
18.42	34.44
18.62	34.44
21.30	34.44
26.01	34.43
21.06	34.40
22.59	34.40
19.36	34.38
28.79	34.34
28.83	34.33
28.47	34.30
22.02	34.28
22.06	34.28
21.80	34.25
21.35	34.25
19.17	34.21
30.78	34.19
20.01	34.19
32.22	34.17
31.22	34.17
20.99	34.14
31.61	34.14
21.04	34.14
20.45	34.12
21.39	34.12
20.27	34.12
22.64	34.11
25.75	34.10
26.99	34.10
19.48	34.10
18.09	34.08
26.68	34.07
21.59	34.07
20.69	34.06
31.31	34.06
21.27	34.04
20.11	34.03
30.67	34.03
20.91	34.00
24.29	34.00
30.73	33.97
20.04	33.97
28.86	33.97
31.04	33.96
22.13	33.95
27.51	33.94
29.19	33.94
20.82	33.92
19.59	33.88
22.60	33.88
19.27	33.85
31.47	33.84
28.17	33.83
28.56	33.82
21.00	33.82
22.90	33.77
19.60	33.75
20.69	33.74
20.21	33.74
20.23	33.74
18.44	33.72
21.27	33.71
20.25	33.70
21.09	33.70
24.39	33.68
22.22	33.67
26.69	33.66
21.78	33.65
18.94	33.62
23.77	33.61
20.45	33.60
