 0.87	   4.356384e-06	   4.356384e-06	   8.288793e-16
 0.88	   5.247655e-06	   5.247655e-06	  -1.087808e-14
 0.89	   6.293285e-06	   6.293285e-06	  -9.706388e-15
 0.90	   7.514983e-06	   7.514983e-06	   4.731756e-15
 0.91	   8.936750e-06	   8.936750e-06	   8.714771e-15
 0.92	   1.058503e-05	   1.058503e-05	  -4.299045e-15
 0.93	   1.248886e-05	   1.248886e-05	  -1.025310e-14
 0.94	   1.468001e-05	   1.468001e-05	  -1.588907e-14
 0.95	   1.719314e-05	   1.719314e-05	   1.603599e-15
 0.96	   2.006596e-05	   2.006596e-05	   2.318644e-15
 0.97	   2.333932e-05	   2.333932e-05	  -1.392034e-15
 0.98	   2.705744e-05	   2.705744e-05	  -9.849909e-16
 0.99	   3.126795e-05	   3.126795e-05	  -2.722655e-15
 1.00	   3.602209e-05	   3.602209e-05	  -3.279712e-17
 1.01	   4.137481e-05	   4.137481e-05	   9.711253e-15
 1.02	   4.738489e-05	   4.738489e-05	  -1.953820e-15
 1.03	   5.411507e-05	   5.411507e-05	   7.908577e-15
 1.04	   6.163213e-05	   6.163213e-05	  -3.004704e-15
 1.05	   7.000701e-05	   7.000701e-05	  -6.948191e-15
 1.06	   7.931490e-05	   7.931490e-05	   3.770909e-15
 1.07	   8.963532e-05	   8.963532e-05	   1.170147e-14
 1.08	   1.010522e-04	   1.010522e-04	   7.214878e-15
 1.09	   1.136538e-04	   1.136538e-04	  -3.026415e-16
 1.10	   1.275332e-04	   1.275332e-04	   6.396115e-15
 1.11	   1.427876e-04	   1.427876e-04	  -7.356691e-15
 1.12	   1.595193e-04	   1.595193e-04	  -1.978154e-15
 1.13	   1.778347e-04	   1.778347e-04	  -1.070167e-14
 1.14	   1.978453e-04	   1.978453e-04	   7.181349e-15
 1.15	   2.196668e-04	   2.196668e-04	   5.529702e-16
 1.16	   2.434198e-04	   2.434198e-04	   1.160980e-14
 1.17	   2.692294e-04	   2.692294e-04	  -1.589224e-15
 1.18	   2.972252e-04	   2.972252e-04	  -2.687629e-15
 1.19	   3.275415e-04	   3.275415e-04	  -4.602113e-15
 1.20	   3.603168e-04	   3.603168e-04	   1.543904e-15
 1.21	   3.956942e-04	   3.956942e-04	   4.571755e-15
 1.22	   4.338212e-04	   4.338212e-04	  -2.797729e-15
 1.23	   4.748493e-04	   4.748493e-04	   3.866428e-15
 1.24	   5.189343e-04	   5.189343e-04	   2.162983e-15
 1.25	   5.662361e-04	   5.662361e-04	   6.832317e-15
 1.26	   6.169185e-04	   6.169185e-04	  -4.015885e-16
 1.27	   6.711491e-04	   6.711491e-04	  -3.506635e-15
 1.28	   7.290994e-04	   7.290994e-04	   1.293085e-14
 1.29	   7.909441e-04	   7.909441e-04	   7.730253e-15
 1.30	   8.568616e-04	   8.568616e-04	  -4.161168e-16
 1.31	   9.270337e-04	   9.270337e-04	  -9.930208e-16
 1.32	   1.001645e-03	   1.001645e-03	  -2.058249e-15
 1.33	   1.080883e-03	   1.080883e-03	  -9.306791e-16
 1.34	   1.164939e-03	   1.164939e-03	  -1.659480e-15
 1.35	   1.254006e-03	   1.254006e-03	   4.663370e-15
 1.36	   1.348280e-03	   1.348280e-03	  -5.433371e-15
 1.37	   1.447958e-03	   1.447958e-03	  -4.807352e-16
 1.38	   1.553240e-03	   1.553240e-03	  -2.242564e-15
 1.39	   1.664329e-03	   1.664329e-03	  -6.419778e-15
 1.40	   1.781429e-03	   1.781429e-03	   5.357477e-15
 1.41	   1.904744e-03	   1.904744e-03	   5.766871e-15
 1.42	   2.034482e-03	   2.034482e-03	  -3.426079e-17
 1.43	   2.170850e-03	   2.170850e-03	  -6.998742e-15
 1.44	   2.314058e-03	   2.314058e-03	  -1.270685e-15
 1.45	   2.464314e-03	   2.464314e-03	   8.912142e-16
 1.46	   2.621830e-03	   2.621830e-03	  -1.306680e-15
 1.47	   2.786815e-03	   2.786815e-03	  -1.795872e-15
 1.48	   2.959481e-03	   2.959481e-03	   1.486224e-15
 1.49	   3.140039e-03	   3.140039e-03	   6.241969e-15
 1.50	   3.328699e-03	   3.328699e-03	   1.698728e-15
 1.51	   3.525672e-03	   3.525672e-03	   4.287803e-15
 1.52	   3.731168e-03	   3.731168e-03	   4.596584e-15
 1.53	   3.945395e-03	   3.945395e-03	   3.950833e-15
 1.54	   4.168563e-03	   4.168563e-03	  -1.397320e-15
 1.55	   4.400877e-03	   4.400877e-03	  -1.785030e-15
 1.56	   4.642545e-03	   4.642545e-03	   6.870372e-15
 1.57	   4.893770e-03	   4.893770e-03	  -2.308050e-15
 1.58	   5.154755e-03	   5.154755e-03	   1.183081e-15
 1.59	   5.425701e-03	   5.425701e-03	  -1.078998e-15
 1.60	   5.706808e-03	   5.706808e-03	  -5.913672e-15
 1.61	   5.998272e-03	   5.998272e-03	   3.790371e-16
 1.62	   6.300289e-03	   6.300289e-03	  -3.658532e-15
 1.63	   6.613050e-03	   6.613050e-03	   2.666270e-15
 1.64	   6.936745e-03	   6.936745e-03	  -7.840950e-15
 1.65	   7.271562e-03	   7.271562e-03	   1.561251e-16
 1.66	   7.617685e-03	   7.617685e-03	   4.173745e-15
 1.67	   7.975295e-03	   7.975295e-03	   5.672546e-16
 1.68	   8.344571e-03	   8.344571e-03	  -1.108488e-15
 1.69	   8.725687e-03	   8.725687e-03	   3.259545e-15
 1.70	   9.118815e-03	   9.118815e-03	  -4.132111e-15
 1.71	   9.524124e-03	   9.524124e-03	  -2.376571e-16
 1.72	   9.941778e-03	   9.941778e-03	   2.359224e-16
 1.73	   1.037194e-02	   1.037194e-02	   1.595946e-16
 1.74	   1.081476e-02	   1.081476e-02	   9.315465e-16
 1.75	   1.127040e-02	   1.127040e-02	   1.453698e-15
 1.76	   1.173901e-02	   1.173901e-02	   2.780762e-15
 1.77	   1.222073e-02	   1.222073e-02	   4.267420e-16
 1.78	   1.271570e-02	   1.271570e-02	  -1.318390e-16
 1.79	   1.322406e-02	   1.322406e-02	  -9.939966e-16
 1.80	   1.374594e-02	   1.374594e-02	   2.118097e-15
 1.81	   1.428147e-02	   1.428147e-02	  -1.514414e-15
 1.82	   1.483078e-02	   1.483078e-02	   3.681083e-15
 1.83	   1.539399e-02	   1.539399e-02	   9.905271e-16
 1.84	   1.597120e-02	   1.597120e-02	  -1.956768e-15
 1.85	   1.656253e-02	   1.656253e-02	  -2.428613e-17
 1.86	   1.716809e-02	   1.716809e-02	   3.365364e-15
 1.87	   1.778798e-02	   1.778798e-02	  -4.163336e-17
 1.88	   1.842229e-02	   1.842229e-02	  -3.504141e-16
 1.89	   1.907111e-02	   1.907111e-02	   8.500145e-16
 1.90	   1.973453e-02	   1.973453e-02	  -9.853229e-16
 1.91	   2.041264e-02	   2.041264e-02	  -1.450229e-15
 1.92	   2.110551e-02	   2.110551e-02	  -2.327999e-15
 1.93	   2.181322e-02	   2.181322e-02	  -2.015749e-15
 1.94	   2.253582e-02	   2.253582e-02	  -1.797174e-15
 1.95	   2.327339e-02	   2.327339e-02	   4.267420e-16
 1.96	   2.402598e-02	   2.402598e-02	  -2.990663e-15
 1.97	   2.479364e-02	   2.479364e-02	   9.471590e-16
 1.98	   2.557642e-02	   2.557642e-02	  -3.264750e-15
 1.99	   2.637437e-02	   2.637437e-02	   2.463307e-16
 2.00	   2.718753e-02	   2.718753e-02	   1.953299e-15
 2.01	   2.801592e-02	   2.801592e-02	   2.133710e-15
 2.02	   2.885957e-02	   2.885957e-02	   1.849215e-15
 2.03	   2.971852e-02	   2.971852e-02	   2.203099e-15
 2.04	   3.059277e-02	   3.059277e-02	  -1.748601e-15
 2.05	   3.148234e-02	   3.148234e-02	   3.115563e-15
 2.06	   3.238724e-02	   3.238724e-02	  -1.658396e-15
 2.07	   3.330748e-02	   3.330748e-02	  -1.117162e-15
 2.08	   3.424305e-02	   3.424305e-02	  -1.054712e-15
 2.09	   3.519396e-02	   3.519396e-02	  -2.928213e-15
 2.10	   3.616018e-02	   3.616018e-02	  -7.563394e-16
 2.11	   3.714170e-02	   3.714170e-02	  -5.273559e-16
 2.12	   3.813851e-02	   3.813851e-02	   8.326673e-17
 2.13	   3.915059e-02	   3.915059e-02	   4.787837e-16
 2.14	   4.017790e-02	   4.017790e-02	   5.412337e-16
 2.15	   4.122040e-02	   4.122040e-02	  -2.567391e-15
 2.16	   4.227808e-02	   4.227808e-02	  -8.812395e-16
 2.17	   4.335087e-02	   4.335087e-02	  -7.632783e-17
 2.18	   4.443874e-02	   4.443874e-02	   5.759282e-16
 2.19	   4.554163e-02	   4.554163e-02	   1.075529e-15
 2.20	   4.665950e-02	   4.665950e-02	   2.026157e-15
 2.21	   4.779228e-02	   4.779228e-02	  -6.522560e-16
 2.22	   4.893990e-02	   4.893990e-02	  -1.249001e-15
 2.23	   5.010231e-02	   5.010231e-02	  -4.510281e-16
 2.24	   5.127943e-02	   5.127943e-02	  -1.464107e-15
 2.25	   5.247118e-02	   5.247118e-02	  -1.942890e-16
 2.26	   5.367748e-02	   5.367748e-02	  -5.828671e-16
 2.27	   5.489826e-02	   5.489826e-02	  -1.207368e-15
 2.28	   5.613342e-02	   5.613342e-02	   6.591949e-16
 2.29	   5.738287e-02	   5.738287e-02	   2.428613e-16
 2.30	   5.864653e-02	   5.864653e-02	   1.269818e-15
 2.31	   5.992428e-02	   5.992428e-02	   6.938894e-18
 2.32	   6.121603e-02	   6.121603e-02	   4.857226e-16
